orig_question_num,question,possible_answers,correct_answer,text,context_num
Q_0,On what date did the Supreme Court officially overturn Roe v. Wade and Planned Parenthood v. Casey?,"['June 24, 2021', 'June 24, 2022', 'July 24, 2022', 'August 24, 2022']",1,"### Article: United States abortion protests (2022–present).
### Section: Background.
### Subsection: Overturning of Roe v. Wade.
### Text: On June 24, 2022, in a 5–4 decision, the Supreme Court officially overturned Roe v. Wade and Planned Parenthood v. Casey. The decision was divisive among the American public, with 55 to 60% ""split between those who think that it (abortion) should be mostly legal with some exceptions and mostly illegal but with exceptions"" and was generally condemned by international observers and foreign leaders, resulting in further protests.",0
Q_1,What was the margin of the Supreme Court decision that overturned Roe v. Wade and Planned Parenthood v. Casey?,"['6–3', '5–4', '7–2', '8–1']",1,"### Article: United States abortion protests (2022–present).
### Section: Background.
### Subsection: Overturning of Roe v. Wade.
### Text: On June 24, 2022, in a 5–4 decision, the Supreme Court officially overturned Roe v. Wade and Planned Parenthood v. Casey. The decision was divisive among the American public, with 55 to 60% ""split between those who think that it (abortion) should be mostly legal with some exceptions and mostly illegal but with exceptions"" and was generally condemned by international observers and foreign leaders, resulting in further protests.",0
Q_2,What percentage of the American public was split between those who think abortion should be mostly legal with some exceptions and mostly illegal but with exceptions?,"['40 to 45%', '50 to 55%', '55 to 60%', '60 to 65%']",2,"### Article: United States abortion protests (2022–present).
### Section: Background.
### Subsection: Overturning of Roe v. Wade.
### Text: On June 24, 2022, in a 5–4 decision, the Supreme Court officially overturned Roe v. Wade and Planned Parenthood v. Casey. The decision was divisive among the American public, with 55 to 60% ""split between those who think that it (abortion) should be mostly legal with some exceptions and mostly illegal but with exceptions"" and was generally condemned by international observers and foreign leaders, resulting in further protests.",0
Q_3,How did international observers and foreign leaders react to the Supreme Court decision?,"['They generally supported the decision', 'They were neutral about the decision', 'They generally condemned the decision', 'They were unaware of the decision']",2,"### Article: United States abortion protests (2022–present).
### Section: Background.
### Subsection: Overturning of Roe v. Wade.
### Text: On June 24, 2022, in a 5–4 decision, the Supreme Court officially overturned Roe v. Wade and Planned Parenthood v. Casey. The decision was divisive among the American public, with 55 to 60% ""split between those who think that it (abortion) should be mostly legal with some exceptions and mostly illegal but with exceptions"" and was generally condemned by international observers and foreign leaders, resulting in further protests.",0
Q_76,What is the current number of counties required to get an amendment on the ballot in Ohio?,"['30 counties', '44 counties', '50 counties', '88 counties']",1,"### Article: August 2023 Ohio Issue 1.
### Section: Provisions.
### Subsection: None.
### Text: If approved by voters, the amendment would have changed the Ohio State Constitution, modifying the Initiative and Referendum Process Amendment of 1912, which created a method for citizen-initiated direct democracy in Ohio. A ""yes"" vote on Issue 1 was a vote to change the Ohio Constitution by:

Requiring signatures from all 88 counties to get an amendment on the ballot, instead of the current 44 counties (50%). Removing the 10-day cure period (a period allowing fixes to any errors in the collected signatures). Increasing the passing percentage from a simple majority (50%+1) vote to a three-fifths supermajority (60%) on citizen and legislature-initiated referendums. Had the amendment passed the second and third  provisions would have taken effect immediately, while the first provision would have taken effect on January 1, 2024. A ""no"" vote on Issue 1 was a vote to keep the Ohio Constitution as is, by:

Keeping the number of counties from which signatures are required to get an amendment on the ballot at 44 counties (50%)
Keeping the 10-day cure period. Maintaining the passing percentage of a citizen-initiated referendum at a simple majority (50%+1 vote), without creating a difference between citizen-initiated referendums and legislature-initiated referendums.",3
Q_77,What is the current passing percentage for citizen-initiated referendums in Ohio?,"['40%', '50%+1 vote', '60%', '75%']",1,"### Article: August 2023 Ohio Issue 1.
### Section: Provisions.
### Subsection: None.
### Text: If approved by voters, the amendment would have changed the Ohio State Constitution, modifying the Initiative and Referendum Process Amendment of 1912, which created a method for citizen-initiated direct democracy in Ohio. A ""yes"" vote on Issue 1 was a vote to change the Ohio Constitution by:

Requiring signatures from all 88 counties to get an amendment on the ballot, instead of the current 44 counties (50%). Removing the 10-day cure period (a period allowing fixes to any errors in the collected signatures). Increasing the passing percentage from a simple majority (50%+1) vote to a three-fifths supermajority (60%) on citizen and legislature-initiated referendums. Had the amendment passed the second and third  provisions would have taken effect immediately, while the first provision would have taken effect on January 1, 2024. A ""no"" vote on Issue 1 was a vote to keep the Ohio Constitution as is, by:

Keeping the number of counties from which signatures are required to get an amendment on the ballot at 44 counties (50%)
Keeping the 10-day cure period. Maintaining the passing percentage of a citizen-initiated referendum at a simple majority (50%+1 vote), without creating a difference between citizen-initiated referendums and legislature-initiated referendums.",3
Q_78,What would be the effective date of the first provision if the amendment had passed?,"['August 2023', 'January 1, 2024', 'June 2024', 'December 2024']",1,"### Article: August 2023 Ohio Issue 1.
### Section: Provisions.
### Subsection: None.
### Text: If approved by voters, the amendment would have changed the Ohio State Constitution, modifying the Initiative and Referendum Process Amendment of 1912, which created a method for citizen-initiated direct democracy in Ohio. A ""yes"" vote on Issue 1 was a vote to change the Ohio Constitution by:

Requiring signatures from all 88 counties to get an amendment on the ballot, instead of the current 44 counties (50%). Removing the 10-day cure period (a period allowing fixes to any errors in the collected signatures). Increasing the passing percentage from a simple majority (50%+1) vote to a three-fifths supermajority (60%) on citizen and legislature-initiated referendums. Had the amendment passed the second and third  provisions would have taken effect immediately, while the first provision would have taken effect on January 1, 2024. A ""no"" vote on Issue 1 was a vote to keep the Ohio Constitution as is, by:

Keeping the number of counties from which signatures are required to get an amendment on the ballot at 44 counties (50%)
Keeping the 10-day cure period. Maintaining the passing percentage of a citizen-initiated referendum at a simple majority (50%+1 vote), without creating a difference between citizen-initiated referendums and legislature-initiated referendums.",3
Q_79,What would be the new passing percentage for citizen and legislature-initiated referendums if the amendment had passed?,"['50%+1 vote', '55%', '60%', '65%']",2,"### Article: August 2023 Ohio Issue 1.
### Section: Provisions.
### Subsection: None.
### Text: If approved by voters, the amendment would have changed the Ohio State Constitution, modifying the Initiative and Referendum Process Amendment of 1912, which created a method for citizen-initiated direct democracy in Ohio. A ""yes"" vote on Issue 1 was a vote to change the Ohio Constitution by:

Requiring signatures from all 88 counties to get an amendment on the ballot, instead of the current 44 counties (50%). Removing the 10-day cure period (a period allowing fixes to any errors in the collected signatures). Increasing the passing percentage from a simple majority (50%+1) vote to a three-fifths supermajority (60%) on citizen and legislature-initiated referendums. Had the amendment passed the second and third  provisions would have taken effect immediately, while the first provision would have taken effect on January 1, 2024. A ""no"" vote on Issue 1 was a vote to keep the Ohio Constitution as is, by:

Keeping the number of counties from which signatures are required to get an amendment on the ballot at 44 counties (50%)
Keeping the 10-day cure period. Maintaining the passing percentage of a citizen-initiated referendum at a simple majority (50%+1 vote), without creating a difference between citizen-initiated referendums and legislature-initiated referendums.",3
Q_100,On what date were Level 3 evacuations issued for areas near State Route 97?,"['July 28, 2023', 'July 29, 2023', 'July 30, 2023', 'July 31, 2023']",1,"### Article: Eagle Bluff Fire.
### Section: Impact.
### Subsection: Closures and evacuations.
### Text: On July 29, 2023, Level 3 evacuations were issued for anyone living on both the East and West sides of State Route 97 from Shirley Road near the US-Canada border to Oroville. The next day at 6:00 pm PT, all Level 3 evacuations were lowered to Level 2. Residents were allowed to return to their homes but were told to be prepared to evacuate if necessary. An evacuation center has been set up by the Red Cross at Oroville High School in Oroville, Washington. Roads bordering U. S. Highway 97 that link Oroville and Osoyoos, British Columbia, were closed. On July 30, those roads were reopened. Routes through the area affected by the fire between the communities of Oroville, Nighthawk, and Loomis are still closed.",4
Q_101,"What was the status of evacuations at 6:00 pm PT on July 30, 2023?","['Level 1', 'Level 2', 'Level 3', 'No evacuations']",1,"### Article: Eagle Bluff Fire.
### Section: Impact.
### Subsection: Closures and evacuations.
### Text: On July 29, 2023, Level 3 evacuations were issued for anyone living on both the East and West sides of State Route 97 from Shirley Road near the US-Canada border to Oroville. The next day at 6:00 pm PT, all Level 3 evacuations were lowered to Level 2. Residents were allowed to return to their homes but were told to be prepared to evacuate if necessary. An evacuation center has been set up by the Red Cross at Oroville High School in Oroville, Washington. Roads bordering U. S. Highway 97 that link Oroville and Osoyoos, British Columbia, were closed. On July 30, those roads were reopened. Routes through the area affected by the fire between the communities of Oroville, Nighthawk, and Loomis are still closed.",4
