,topic_name,section,subsection,text
0,2023 Louisiana wildfires,Summary,,"In a three-month period from August to October 2023, wildfires in Louisiana have burned more than 60,000 acres (94 sq mi), and forced evacuations across several towns in the state, including Merryville and Singer. First burning on August 22, at least 441 wildfires are active across 17 parishes, and the fires have burned at least 21 buildings, prompting the Federal Emergency Management Agency to approve an assistance grant in Beauregard Parish, Louisiana. At least 100 Louisiana National Guard troops were deployed on standby as several wildfires were contained. The most significant fire, the Tiger Island fire in Beauregard Parish, is the largest wildfire recorded in the state, burning over 50,000 acres."
1,2023 Louisiana wildfires,Preparations and impact,Tiger Island fire,"On August 22, a fire started in Beauregard Parish, before spreading to numerous areas of the Parish. Power outages occurred in Singer, Louisiana, and a main water line north of Singer burned due to the fires, forcing the Beauregard Parish Police Jury to shut off water from the connecting water lines, including water lines to Merryville. The fire spread further after a gusty thunderstorm produced wind gusts of over 40 miles per hour (64 km/h). At least ten buildings were destroyed by the fires. The town of Evans was also under a mandatory evacuation order. 348 loads of water and nearly 161,000 gallons were used with firefighting efforts. On August 25, evacuation orders were issued for Bancroft and Junction. Two days later, on August 27, the fire grew in size to 33,000 acres (52 sq mi), and, according to officials, became the largest wildfire ever recorded in the state. On August 29, the fire was only 50 percent contained as the fire burned more than 50,000 acres (78 sq mi). The Louisiana State Department of Agriculture and Forestry said the fire had been caused by arson. Rainfall across western portions of the fire in early September 2023 helped firefighters to increase the containment of the wildfire to 65 percent. The community of Neale was also burned. One death occurred in Singer."
2,2023 Louisiana wildfires,Preparations and impact,Pitkin fire,"On August 24, a fire described as ""out of control"" was reported in Vernon Parish, near Pitkin, Louisiana. Nearby residents were evacuated, and multiple structures began to burn."
3,2023 Louisiana wildfires,Response,,"The Federal Emergency Management Agency approved the Fire Management Assistance Grant in Beauregard Parish. The American Red Cross assisted with relief efforts, and the United States Army Blackhawk helicopters assisted with firefighting operations. Assistance also came from Texas, Oklahoma, Arkansas, and Tennessee, and 161 bulldozers from the National Guard were deployed. A Boeing CH-47 Chinook was also deployed to help with efforts to drop water onto the fires; at least 161,000 gallons of water were dropped from the CH-47. Four strike teams were to arrive from Florida with 160 firefighters and 20 bulldozers. Merryville, Louisiana was under a mandatory evacuation order that has since been lifted. Emergency operations centers were activated on August 23, and a church was opened for a temporary shelter in DeRidder, Louisiana. On August 25, Texas governor Greg Abbott announced that firefighters and emergency personnel would be dispatched to Merryville, Louisiana to assist in firefighting efforts. More than 200 Louisiana National Guard troops were  dispatched to assist in firefighting efforts. Louisiana governor John Bel Edwards stated that ""Nobody alive in Louisiana has ever seen these conditions."" Governor Edwards also assessed damage across Vernon and Sabine parishes. Toledo Bend Army Recreation Park near the Toledo Bend Reservoir was closed. The United Way of southwest Louisiana started a fire fund for collecting donations to assist wildfire victims. On August 29, Beauregard Parish School Board schools resumed operations and classes.


"
4,United States abortion protests (2022–present),Summary,,"A series of ongoing protests supporting abortion rights and anti-abortion counter-protests began in the United States on May 2, 2022, following the leak of a draft majority opinion for the U.S. Supreme Court case Dobbs v. Jackson Women's Health Organization, which stated that the Constitution of the United States does not confer any Reproductive rights, thus overturning Roe v. Wade and Planned Parenthood v. Casey. On June 24, 2022, the Supreme Court officially overturned Roe and Casey in Dobbs, resulting in further protests outside of the U.S. Supreme Court building and across the country, eventually to major cities across the world both in favor of and against the decision."
5,United States abortion protests (2022–present),Background,Leaked draft opinion,"On May 2, 2022, Politico released a first draft of a majority opinion written by Justice Samuel Alito, the authenticity of which Politico said it had verified. The draft opinion would overturn Roe v. Wade and Planned Parenthood v. Casey if held by the majority and thereby finalized in that form. Alito's draft decision called the Roe decision ""egregiously wrong from the start"" on the grounds that abortion is not listed in the United States Constitution as a protected right, and instead would allow states to decide on abortion restrictions or guarantees under the Tenth Amendment to the U.S. Constitution.Shortly after the release of the document, multiple protests occurred in cities throughout the country and outside the U.S. Supreme Court Building in Washington, D.C., along with multiple individuals such as lawyers, politicians, and activist groups speaking out about the leaked draft. The Supreme Court is typically very careful about any information being leaked, this added to the shock that many people felt when it was released."
6,United States abortion protests (2022–present),Background,Overturning of Roe v. Wade,"On June 24, 2022, in a 5–4 decision, the Supreme Court officially overturned Roe v. Wade and Planned Parenthood v. Casey. The decision was divisive among the American public, with 55 to 60% ""split between those who think that it (abortion) should be mostly legal with some exceptions and mostly illegal but with exceptions"" and was generally condemned by international observers and foreign leaders, resulting in further protests."
7,United States abortion protests (2022–present),Protests before the ruling,Midwest,"Illinois saw protests in Bloomington, Chicago, Peoria, Rockford, and Springfield. On May 7, more than 1,000 abortion-rights protesters met and marched in downtown Chicago. Governor J. B. Pritzker and Lieutenant Governor Juliana Stratton spoke to the crowd in Federal Plaza. On May 14, thousands of abortion rights protesters, and a group of anti-abortion activists, met and marched in Union Park and Beverly in Chicago. On May 20, a majority of students at Lake Forest High School in Lake Forest walked out in protest of the leaked draft Supreme Court decision.
More than a dozen people gathered at Four Freedoms Monument in Evansville, Indiana. In Indianapolis, pro-abortion rights and anti-abortion protesters gathered outside downtown's federal courthouse. Approximately 30 protesters assembled outside the Tippecanoe County Courthouse in Lafayette, including state representative Chris Campbell. On May 22, protesters returned to the Four Freedoms Monument in Evansville.In Iowa, there were demonstrations in Cedar Rapids and Des Moines. Additionally, approximately 100 students held a protest at Northview Middle School in Ankeny. Americans for Democratic Action Iowa organized a rally in Waterloo.In Michigan, the Ann Arbor event was held outside the federal building. Dozens of people attended the rally outside the Theodore Levin United States Courthouse in Detroit, including Cynthia A. Johnson and Rashida Tlaib. Approximately 250 people rallied outside the Kent County Courthouse in Grand Rapids. Approximately 300 people participated in the demonstration at the Michigan State Capitol in Lansing, including a dozen or so anti-abortion activists. Stephanie Chang spoke at the rally. The rally outside Midland's County Courthouse was organized by the Women of Michigan Action Network and attended by approximately 150 people. On May 10, several speakers including abortion providers and president of the Detroit City Council were scheduled to speak at Spirit Plaza. Michigan Attorney General Dana Nessel left the event before being introduced after several of the speakers were interrupted by protesters. On May 14, about 2.000 protesters at the University of Michigan campus in Ann Arbor and 500 protested in downtown Detroit. Hundreds of anti-abortion and abortion-rights protesters marched in front of Grand Rapids City Hall.  On June 8, dozens of abortion rights activists protested in the gallery of the Michigan House in Lansing.  On June 12, abortion rights protesters disrupted a Catholic Mass in Eastpointe.
In Minnesota, there were demonstrations in Minneapolis and Saint Paul. In Missouri, there were protests in Kansas City, Springfield, Joplin,  and St. Louis. A demonstration was held in Omaha, Nebraska.Ohio saw protests in Cincinnati, Columbus, Dayton, Toledo, and Youngstown. Additionally, students gathered at the Kent State University campus in Kent. More than a thousand protesters showed up in Cleveland's Willard Park for the Bans Off Our Bodies march on May 14.  On June 12, dozens of abortion rights protestors gathered in Toledo.In Wisconsin, demonstrations were held in La Crosse, Madison, and Milwaukee. On May 22, protesters rallying for abortion rights gathered in Green Bay.  On June 12, dozens of abortion rights protestors marched in Greenfield."
8,United States abortion protests (2022–present),Protests before the ruling,Northeast,"Connecticut saw protests in Bridgeport, New Haven, and Norwalk. Students and faculty also protested at Quinnipiac University's Mount Carmel campus in Hamden. In Maine, there were protests in Bangor and Portland. Additionally, students held demonstrations at Bates College in Lewiston and Edward Little High School in Auburn.In Portland, Maine, dozens of abortion rights activists debated and shouted with 5 to 10 anti-abortion protesters at Monument Square on May 13.In Massachusetts, approximately 1,000 people participated in the rally at Boston Common. Pro-abortion and anti-abortion students held rallies at the Harvard University campus in Cambridge. A demonstration was held in Longmeadow on Mother's Day. On Nantucket, people assembled at Brant Point Light. Approximately 30 people gathered outside City Hall in North Adams. The Northampton rally was held at City Hall. Mayor Joseph Petty attended the event in Worcester, as did members of Pathways for Change. Students from Clark University marched from campus to the Worcester Courthouse.New Hampshire saw protests at the New Hampshire State House in Concord.
In New Jersey, hundreds protested in Montclair and at the Somerset County Courthouse in Somerville. Additionally, approximately 100 people gathered outside Nassau Hall on the Princeton University campus in Princeton. On May 13, a group of seniors organized a rally attended by former New Jersey State Senator Loretta Weinberg at the Arbor Terrace senior housing center in Teaneck. On May 14, hundreds rallied at Mindowaskin Park in Westfield. On May 16, an abortion-rights rally at Hunterdon Central Regional High School lead to some pushing and shoving between students.Pennsylvania saw protests in Allentown, Lancaster, Philadelphia, and Pittsburgh. Protests were also held in Providence, Rhode Island, and Essex Junction, Vermont. On May 14, nearly a thousand protesters rallied around the Pittsburgh City-County Building and about 150 rallied in Bethlehem for the Bans Off Our Bodies event."
9,United States abortion protests (2022–present),Protests before the ruling,South,"Demonstrations were held in Birmingham, Alabama, Fayetteville, Arkansas, and Wilmington, Delaware.  In Maryland, there was a protest in Baltimore, and approximately 100 people gathered outside the homes of Justices Brett Kavanaugh and John Roberts in Chevy Chase on May 7.In Georgia, there were protests in Athens, Atlanta, and Savannah. Kentucky saw demonstrations in Lexington and Louisville. There was a protest in New Orleans, Louisiana. On May 21, a protest occurred in Augusta.In Mississippi, protests increased in Jackson outside the Jackson Women's Health Organization, the state's last abortion clinic which is the plaintiff in the case which overturned Roe v. Wade. On May 3, the director announced that they would move their office to New Mexico if the Supreme Court rules against them. In North Carolina, there were demonstrations in Asheville and Raleigh. There were also protests in Norman and Oklahoma City, Oklahoma, and in Charleston, South Carolina.North Carolina saw hundreds protesting Greensboro, Winston-Salem, Raleigh and Asheville on May 14.
In Tennessee, protesters marched from Miller Park to the Hamilton County Courthouse in Chattanooga. Approximately 100 people gathered at Founders Park in Johnson City. Approximately 100 people gathered outside Knoxville's Howard H. Baker Jr. Courthouse for the ""Knoxville Rally to Defend Roe. Wade"", which was organized by the Women's March Coalition and the Knoxville Center for Reproductive Health. Hundreds gathered outside the federal courthouse in Nashville. On May 14, dozens protested in Bristol, Tennessee.Texas saw demonstrations in Amarillo, Austin, Bryan, Dallas, El Paso, Houston, and San Antonio.  Dozens gathered outside the Tarrant County Courthouse in Fort Worth. Beto O'Rourke organized an abortion-rights rally that saw thousands gather at Discovery Green in downtown Houston, including some anti-abortion activists. On May 14, a Bans Off Our Bodies rally was held in Austin that featured speakers state Representative Donna Howard and U.S. Representative Lloyd Doggett. On June 5, three activists organized by Rise 4 Abortion Rights stripped down to their underwear during services at megachurch pastor Joel Osteen's Lakewood Church in Houston.In Virginia, protests were held in Norfolk, Richmond, and Roanoke. Protests were planned by the Virginia League of Planned Parenthood, the groups Shutdown DC and Ruth Sent Us promoted vigils, walk-by and demonstrations outside of Justice Samuel Alito and conservative justices homes in Maryland and Virginia."
